Seccion,Subseccion,Contenido
 Practices , Squatting ,"Just as freegans argue food waste should be recovered and redistributed, many argue that unoccupied buildings are a form of ""waste"" to be reclaimed. Squatting was widespread in Western Europe as well as parts of the United States in the 1980s and 1990s, and activists used squatted buildings not only for housing but also to create community centers, pirate radio stations, or free schools. A widespread crackdown by municipalities closed many squats and legalized the remainder in the 1990s—the moment when freeganism was emerging—and so it is thus difficult to know how many people are involved in this activity."
 Practices , Squatting ,"While research with freegans consistently shows that they endorse squatting, in practice, freegan living situations vary, ranging from trading work for rent to traditional home ownership."
 Practices , Working less ,"Working less is another component of freeganism. Freegans oppose the notion of working for the sole purpose of accumulating material items. They claim that their need to work is reduced by only purchasing the basic necessities and acquiring the remainder for free from the garbage. According to freegans, not working frees up additional time for political action while avoiding tasks they see as sacrificing valuable time to ""take orders from someone else, stress, boredom, monotony, and in many cases risks to physical and psychological well-being"". As with squatting, however, the degree of concordance between freegan ideology and practices is variable."
 Practices , Working less ,"In surveys, self-described freegans vary from reporting working only irregularly, working consistently in social justice organizations, and being employed in more conventional, ""capitalist"" occupations."
 Responses and criticism , Sanitation and stigma ,"Contact with waste is seen as a taboo and socially unacceptable in most developed countries, and freegans are often associated with stigmatized and racialized groups like the homeless or even compared to scavenging ""pest"" animals like raccoons. Some public health officials, like those in New York City, have explicitly discouraged dumpster diving for sanitation reasons and media coverage occasionally focuses on the ""ick"" factor of dumpster diving while (explicitly or implicitly) ignoring its political content. This discourse has been deployed more broadly to discredit anarchist movements by claiming they are unhygienic and thus dangerous."
 Responses and criticism , Sanitation and stigma ,"While some freegans argue that dumpster dived food is safe—noting it is usually thrown out because it cannot be profitably sold, not because it is no longer edible—others embrace the ""dirtiness"" of recovered food as a symbolic rejection of capitalist norms. The group freegan.info has made the disgust attached to wasted food part of its messaging, arguing that social disapprobation should instead fall on those who throw out food, rather than those who recover it."
 Responses and criticism , Parasitism ,"Freeganism has also been critiqued both by other radical movements and by mainstream commentators for the fact that its signature practice—dumpster diving—depends on the capitalist food system that freegans claim to be rejecting. A typical response is that freegan practices are not limited to dumpster diving, but include also actions like guerilla gardening, wild food foraging, or sewing or bike repair ""skill shares"" that are more fully autonomous from the conventional economy."
 Responses and criticism , Racial and class composition ,"Although activities like dumpster diving or gleaning are traditionally seen as subsistence strategies for the poor, most research on freegans finds that individuals come from middle-class and upper-class backgrounds and have high levels of education (even if their present lifestyles make them low-income). Freeganism has also been described as racially exclusive, because freeganism's voluntary association of waste would seem to confirm a ""globally ubiquitous racial construction"" that people of color are dirty and polluted."
 Responses and criticism , Racial and class composition ,"As one freegan of color wrote, ""I am extremely embarrassed for people to see me diving, because I can tell that I'm not just me, I'm also a representation of black people in general...I got harassed by security several times while diving on my own campus, until my white friends pop their heads out of the dumpsters."" In contrast, the portrait of the gender balance of freeganism is more mixed, with some accounts saying groups are majority men and others majority women."
 Responses and criticism , Legality and commercial responses ,"The legality of freegan practices of reclaiming wasted food, space, or buildings varies depending on local laws around property, trespassing, and waste removal. In some places, like New York City, freegans dumpster dive publicly; in other locations, urban foraging is a secretive activity. In recent years, there have been arrests of people dumpster diving for political reasons in the United Kingdom, Belgium, and France, although in most locations charges have eventually been dropped."
 Responses and criticism , Legality and commercial responses ,"These actions could be seen as part of a broader criminalization of acts of survival—like sleeping in public places, sharing food without a permit, or recovering aluminum cans to re-sell—that has affected freegans as well as affiliated groups like Food Not Bombs and the homeless. Freegans report that stores have responded to waste recovery as well, including deliberately destroying products prior to disposing of them, locking dumpsters, or pouring bleach on food to make it inedible. In France, a new national law bans the practice of destroying food in this way."
 Responses and criticism , Legality and commercial responses ,"Media coverage of freeganism in the United States peaked around the financial crisis in 2007-2009 and dropped off subsequently. More recently, freeganism has been discussed in the context of increasing public interest in food waste. Tristram Stuart, a prominent food waste campaigner and founder of the organization ""Feedback"" claims that media attention to freeganism was crucial in attracting attention to the problem. Other analyses of the origins of contemporary public policy initiatives around food waste have also concluded that freeganism contributed to new initiatives, like the French law on food waste or the U.S. food waste reduction challenge."
 Responses and criticism , Legality and commercial responses ,"Hunter-gatherer Stuart, Tristram (2009). Waste: Uncovering the Global Food Scandal. Penguin. ISBN 978-0-14-103634-2. Sundeen, Mark (2012). The Man Who Quit Money. Riverhead Books. ISBN 1594485690 Barnard, Alex (2016). Freegans: Diving into the Wealth of Food Waste in America. University of Minnesota Press. ISBN 978-0-8166-9813-4. Lou, Loretta (2019). Freedom as ethical practices: on the possibility of freedom through freeganism and freecycling in Hong Kong. Asian Anthropology."
 Responses and criticism , Legality and commercial responses ,Fallingfruit.org/freegan – Falling Fruit's global map of freegan resources Trashwiki – Freegan wiki-encyclopedia of dumpster-diving spots Freegan.info – 100 pages on freegan theory & practice with events and directories primarily in NYC Freegan.at – Austrian Freegan page (English version)
 History and timeline ,,"Second Harvest was founded in April 1985 in Toronto by Ina Andre and Joan Clayton. Under the direction of Andre and Clayton, the organization began small and consisted of picking up waste food in a hatchback from restaurants and grocery stores and distributing it across the city.1994 — Ontario Legislature passed the “Donation of Food Act” or Good Samaritan Legislation releasing those who donate food or distribute donated food from liability in the event that an individual is affected by the consumption of that food, provided that due diligence is exercised."
 History and timeline ,,"This act enabled Second Harvest to accept donations from large food corporations, helping the organization to grow substantially.April 2015 — Second Harvest marked 30 years of delivering fresh, surplus food to Toronto's hungry."
 History and timeline ,,"July 2, 2018 — Lori Nikkel becomes the organization's first chief executive officer.October 26, 2018 — Second Harvest launches the Second Harvest Food Rescue App, a free tool for businesses to donate excess food.January 17, 2019 — Second Harvest releases The Avoidable Crisis of Food Waste, a world-first report co-authored Value Chain Management International, identifying the amount of food that is lost and wasted across the Canadian supply chain and the approximately 30 root causes of food loss and waste and over 100 solutions to limit the amount lost and wasted."
 History and timeline ,,"This report identifies that in Canada 58% of all food produced for Canadians is lost or wasted and over 11MM tonnes could be redirected to support communities in need. June 11, 2019 — Second Harvest expanded operations into British Columbia. Second Harvest Toronto Taste"
 Types of materials ,,"Organic materials, such as yard trimmings, food scraps, wood waste, and paper and paperboard products, typically make up about one-third (by weight) of the municipal solid waste stream. SSO programs depend on the composition of local waste stream, acceptance specifications for the organics processing facility, and collection methods."
 Types of materials ,,The
 Types of materials ,,types
 Types of materials ,,of
 Types of materials ,,organic
 Types of materials ,,materials
 Types of materials ,,collected
 Types of materials ,,include:
 Types of materials ,,Yard
 Types of materials ,,and
 Types of materials ,,landscaping
 Types of materials ,,debris:
 Types of materials ,,floral
 Types of materials ,,"trimmings, tree trimmings, leaves, grass, brush, and weeds Food waste: organic residues generated by the handling, storage, sale, preparation, cooking, and serving of foods, including fruits, vegetables, meat, poultry, seafood, shellfish, bones, rice, beans, pasta, bakery items, cheese, eggshells, and coffee grounds Paper fibers: waxed cardboard, napkins, paper towels, uncoated paper plates, tea bags, coffee filters, wooden crates, and greasy pizza boxes Wood waste: urban wood waste, woody debris from suburban land clearing, and rural forestry residuals SSO programs have been launched in a wide range of venues, including single-family residential units, commercial businesses, events, food processors, schools, hospitals, and airports."
 Types of materials ,,"The U.S. Environmental Protection Agency (EPA) has assembled tools and resources for food waste management to assist communities interested in launching their own food waste reduction and collection efforts. SSO materials are typically collected in wet-strength paper bags, unlined plastic bins, or compostable film-plastic liners that meet ASTM 6400 standards. The organic fraction of the waste stream is increasingly viewed as a resource."
 Types of materials ,,"The resulting products – renewable energy and compost – benefit the environment: reduce greenhouse gas emissions; reduce dependency on foreign energy imports; increase the nutrient composition of our soils; reduce the amount of waste going to landfills; reduce the amount of wet, sloppy waste going to other methods of disposal; reduce the leachate associated with stormwater management at landfills; reduce the greenhouse gas emissions from uncontrolled landfill operations; improve erosion and stormwater control through biofiltration (Schwab, 2000). Communities and businesses that want to implement SSO programs face a few challenges."
 Types of materials ,,"First, they need participation at the source of their organic waste generation. Second, they need a hauler willing to collect the organic waste. Third, they need a composting facility permitted to process the material. These challenges have been overcome by many successful SSO programs. Tactics for addressing barriers to adoption include creating outreach and education materials, forging partnerships between local businesses to share fixed collection costs, and creating incentives for organic diversion through regulated tip fees for solid waste and organics."
 Types of materials ,,"Organic materials collected in SSO programs typically get delivered to composting facilities where the waste is turned into nutrient-rich soil amendments known as compost. Organic feedstock can also be delivered to anaerobic digestion facilities that produce biogas, a source of renewable energy. The resulting biogas (methane) can then be used for cogeneration (electricity and heat preferably on or close to the site of production) and can be used in gas combustion engines or turbines."
 Types of materials ,,"With further upgrading to synthetic natural gas it can be injected into the natural gas network or further refined to hydrogen for use in stationary cogeneration fuel cells. Anaerobic digestion Biodegradable waste Biogas Bioplastics Food waste Materials recovery facility Municipal solid waste Recycling Waste management Connecticut Department of Environmental Protection. (2002). School Composting: A Manual for CT Schools. Cuneen, G. (2010, March). Launching Zero Waste Schools ""BioCycle"", Vol. 51, No. 3, p. 35. Massachusetts Department of Environmental Protection. (2003, May). Composting in Restaurants and Schools: A Municipal Toolkit. Center for Ecological Technology (CET). Rosenbloom, P. & Bunn, S. (2005, August)."
 Types of materials ,,"Airport Economizes on Food Residuals Collection Costs BioCycle"", Vol. 46, No. 8, p. 24. Schwab, J. (2000). Compost: Better, Faster, Cheaper Cleanups Waste Age. United States Environmental Protection Agency. (2004). Composting Yard Trimmings and Municipal Solid Waste Office of Solid Waste and Emergency Response: Washington, DC. United States Environmental Protection Agency. (2008) Municipal Solid Waste Generation, Recycling, and Disposal in the United States: Facts and Figures for 2008 Washington, DC. Portland Composts! - Business organics recycling in Portland, OR Save Our Scraps - Public school organic recycling program in Clark County, WA Food Scrap Recycling Ads by StopWaste.org, CA Recycle Food."
 Types of materials ,,"It's Easy to Do. by King County, WA City of Dubuque Food Scrap Recycling Program by Dubuque, IA Bin Talk by Ottawa, Canada How to Set up a Recycling Program by the U.S. Environmental Protection Agency Find a Composter by BioCyle Food Service/Cafeteria Waste Reduction by CalRecycle, CA"
 Background ,,"The nonprofit was founded in 2011 by Kiran Sridhar, then a 12-year-old 7th grader at a Bay Area school, as a way to improve the distribution of food and reduce waste. Sridhar received the Gloria Barron Prize for Young Heroes in 2014, at the age of 16. PayPal provided funding and engineers to help launch the initiative, which also had partners in Appcelerator and Winwire.Sridhar still heads the organization. Waste No Food was initially focused in the Silicon Valley area and expanded to San Francisco. Waste No Food had delivered over 1,000,000 meals by the end of 2015."
 Background ,,"Its partners include Levi's Stadium, the City of San Jose Mayor’s Office, PayPal and the San Francisco 49ers. Waste No Food Tampa Bay is a partnership between Waste No Food and the Tampa Bay Network to End Hunger, with the goal of eradicating hunger. Waste No Food home page"
 History ,,"The company was created in 2015 in Denmark by Brian Christensen, Thomas Bjørn Momsen, Stian Olesen, Klaus Bagge Pedersen, and Adam Sigbrand. In 2017, Mette Lykke (co-founder of Endomondo) joined as CEO.In February 2019, the company raised an additional 6 million euros in a new round of investment. In August 2019, Too Good To Go was re-launched in Austria. In September 2019, Too Good To Go acquired the Spanish startup weSAVEeat and merged it into its own brand. In November 2019, the offer of Too Good To Go extended to plants through a partnership with the French retail plants company Jardiland."
 History ,,"In December 2019, Too Good To Go partnered with the French grocery retail stores Intermarché, and donated 60K euros to the French charity Restaurants du Cœur. In October 2021, Bonnie Wright teamed up with Too Good To Go to drive the initiative to reduce food waste.As of July 2023 the company Web site covered Austria, Belgium, Canada, Denmark, France, Germany, Ireland, Italy, the Netherlands, Norway, Poland, Portugal, Spain, Sweden, Switzerland, the United Kingdom and the United States. The purpose of Too Good To Go is to reduce food waste worldwide."
 History ,,"It developed a mobile application that connects restaurants and stores that have unsold, surplus food, with customers who can then buy whatever food the outlet considers surplus to requirements—without being able to choose—at a much lower price than normal. The food on the app is priced at one-third its original price. The company claims this reduces the waste of food that would otherwise be discarded; food waste is a global problem that affects the environment. In three years active, the app reached more than 9.5 million users."
 History ,,"As of 2022, more than 57.7 million users and 154,000 establishments have signed up, and 139 million meals have been collected. In 2019, the company had 350 employees in Europe. As of June 2023 the company was estimated to have 1,289 employees. Food outlets must notify the TGTG company about what they have available on each day, stating what sort of food they have (baked foods, meals, produce, vegan food), and the price for a 'magic bag', whose contents they determine; the user cannot choose, but the original prices will be three or more times the TGTG price."
 History ,,"Notification is made early based upon the quantity predicted to be left over, not at the end of a selling period. Users must register to use the service. A mobile phone with an Internet connection running Android or iOS is needed. The user runs the TGTG app, which lists outlets available within a chosen distance and time range. The customer can then order and pay for a 'magic bag'. The supplier can cancel an order at any time if the expected surplus is not available—the purchaser is notified by text message—and the purchaser can cancel with two hours' notice."
 History ,,"The phone must be taken to the food supplier in a specified pickup time window, often 30 or 60 minutes long, and the transaction is finalised by swiping the app—connected to the Internet—to confirm collection. Official website"
 Chemical composition ,,"Most used coffee grounds are similar in chemical composition, although coffee grounds used to make instant coffee have fewer chemicals in them due to a more extensive extraction process. Used coffee grounds are rich in sugars, which comprise about half of their weight. A further 20% is made up of proteins, and a further 20% is lignins. The dry coffee grounds contain significant amounts of potassium (11.7 g/kg), nitrogen (2.8 g/kg), magnesium (1.9 g/kg), and phosphorus (1.8 g/kg). The quantity of caffeine remaining in used coffee grounds is around 48% of that in fresh coffee grounds."
 Chemical composition ,,"There are significantly less tannins in used coffee grounds than fresh coffee grounds. On average, 1 tonne of green coffee produces approximately 650 kg of spent coffee grounds, and over 15 million tonnes of spent coffee grounds are generated annually. In keeping with a life cycle approach to sustainability, this large quantity of waste requires waste management plans. Due to the amount of spent coffee grounds generated and the chemical properties of spent coffee grounds, the usage of spent coffee grounds is avidly investigated."
 Usage , In gardens ,"In gardens, coffee grounds may be used for composting or as a mulch as they are known to slowly release nitrogen into the soil. They are said to be especially appreciated by worms and acid-loving plants such as blueberries, although due to acids being leached from the grounds while in use, they typically have a neutral pH, and red wiggler growth and survival has been experimentally tested and found to be reduced in treatments using used coffee grounds as the primary feedstock for the worms. Used coffee grounds are particularly noted as a soil amendment."
 Usage , In gardens ,"Spent coffee grounds have phytotoxic properties which can be reduced through composting. Gardeners have reported the use of used coffee grounds as a borer, slug and snail repellent, but this has not yet been scientifically tested. Some commercial coffee shops run initiatives to prevent the grounds from going to waste, including Starbucks' ""Grounds for your Garden"" project, and community sponsored initiatives exist, such as ""Ground to Ground"" or the 'Green Coffee Shop Scheme' in Cambridgeshire, UK."
 Usage , Use in fortune telling ,In divination and fortune-telling the patterns of coffee grounds are used for predictions.
 Usage , Other uses ,"Initiatives have succeeded using coffee grounds as a substrate for the cultivation of mushrooms (including oyster mushrooms). The use of spent coffee grounds in this application has the advantage of the used coffee grounds needing no pre-treatment to be usable as a mushroom substrate. Used coffee grounds have other homemade uses in wood staining, air fresheners, and body soap scrubs. They may also be used industrially in biogas production or to treat wastewater. Bioethanol may also be produced from the sugar content of spent coffee grounds, after it is defatted as a pre-treatment, it is typically hydrolysed by dilute acid."
 Usage , Other uses ,"In 2021, Gloucestershire-based football club Forest Green Rovers trialled a kit made from 35% used coffee grounds combined with recycled plastic."
 Usage , Other uses ,It
 Usage , Other uses ,is
 Usage , Other uses ,not
 Usage , Other uses ,recommended
 Usage , Other uses ,to
 Usage , Other uses ,burn
 Usage , Other uses ,dried
 Usage , Other uses ,used
 Usage , Other uses ,coffee
 Usage , Other uses ,"grounds,"
 Usage , Other uses ,as
 Usage , Other uses ,they
 Usage , Other uses ,give
 Usage , Other uses ,off
 Usage , Other uses ,hazardous
 Usage , Other uses ,nitrogen
 Usage , Other uses ,oxides
 Usage , Other uses ,when
 Usage , Other uses ,burnt.It
 Usage , Other uses ,has
 Usage , Other uses ,been
 Usage , Other uses ,proposed
 Usage , Other uses ,to
 Usage , Other uses ,use
 Usage , Other uses ,spent
 Usage , Other uses ,coffee
 Usage , Other uses ,grounds
 Usage , Other uses ,to
 Usage , Other uses ,feed
 Usage , Other uses ,"ruminants,"
 Usage , Other uses ,"pigs, chickens and rabbits, but the high lignin content makes this an undesirable use.Dried used coffee grounds were recommended to fill pincushions.It has been suggested to recover caffeine from used coffee grounds for commercial applications in agrifood, cosmetic, nutraceutic or pharmaceutic industries.Application of 10 kg used coffee grounds per square metre has been suggested as part of a crop rotation system, where for the first six months, the field is allowed to lie fallow with a layer of coffee grounds on it suppressing weed growth, then the coffee grounds are plowed in and legumes are grown, which fix their own nitrogen."
 Usage , Other uses ,"Application of an equal amount of horse manure at the same time as the coffee grounds has been shown to nearly eliminate negative effects of fresh used coffee grounds.In concrete making, 10-15% of the sand used may be replaced with used coffee grounds. Ecological effects of coffee Sustainable coffee"
 First appearance ,,"It is thought that TV stations first started showing the caption as a self-defense measure, anticipating complaints from viewers who disliked food being handled roughly on TV variety shows. It's not clear when this annotation began to be used, but according to TV producer Kenji Suga, when a performance using small watermelons was broadcast in Downtown no Gaki no Tsukai ya Arahende!! on Nippon TV, a viewer complained, ""Don't waste food."" As a result, he says, the TV station displayed this annotation on the screen the following year."
 First appearance ,,"There are various theories as to whether staff actually eat the dishes and ingredients that appear in the programs.According to AOL News in 2014, the crew on one information program testified that ""It's difficult for the reporter to eat all the food provided by the restaurant, so the staff instructed the reporter not to eat it all."
 First appearance ,,"However, the staff ate the rest of the dish in obligation of the restaurant."" In ""Meshizanmai Hurusatonoaji"" (Meshizanmai Taste of Hometown), published by food comic artist Raswell Hosoki and others, Eriko Miyazaki, a reporter for the cooking show, claims that the annotation is true, saying ""At least on the show I'm on, the staff eats all the rest of the dishes."" In January 2018, Miwa Asao, former professional beach volleyball player and TV personality, published photos on her blog of staff eating food after recording ""Saturday Night! Otona na TV"" (TVQ Kyushu Broadcasting)."
 First appearance ,,"She wrote ""This is a photo of the location shoot. The staff will eat the rest of the dishes."".Hitoshi Matsumoto, a comedian and TV host, was asked by sociologist Noritoshi Furuichi about this note in 2014 at the ""Wide na Show"" (Fuji Television). He said, ""I don't know if it's true or not. However, I've never seen the staff eating the rest of a dish."" Beat Takeshi (also known as Takeshi Kitano), Japanese comedian, television presenter, actor, filmmaker, and author, stated that no one eats food that fell onto the floor of their own accord in his book ""Bakaron""."
 First appearance ,,"A commentator, Tsunehira Furuya, also stated that the dishes used in the show are not eaten by the staff later, and are thrown away after the show. Tetsuya Uetaki has commented on displaying the note. Broadcast writer Sotani states that TV programs have become more sensitive to dealing with ingredients in programs and display annotations on the screen to prevent complaints from viewers. TV producer Kenji Suga also says that the strict restrictions make TV programs unexciting. Columnist Takashi Matsuo argues that adults, not TV shows, should teach children the importance of saving food."
 First appearance ,,"He also argues that if the parent feels uncomfortable about the child watching what the comedian is expressing on TV, then the parent should switch to another channel or turn off the TV instead of complaining to the TV station. Matsuo also points out the inconsistency that the ""the staff ate it later"" caption is not displayed even in scenes where a large number of tomatoes are thrown at the festival of Tomatina in Spain or when athletes are doing champagne fights to celebrate their victory."
 History ,,"Rudolf Diesel was the father of the engine which bears his name. His first attempts were to design an engine to run on coal dust, but he later designed his engine to run on vegetable oil. The idea, he hoped, would make his engines more attractive to farmers having a source of fuel readily available."
 History ,,"In a 1912 presentation to the British Institute of Mechanical Engineers, he cited a number of efforts in this area and remarked, ""The fact that fat oils from vegetable sources can be used may seem insignificant today, but such oils may perhaps become in course of time of the same importance as some natural mineral oils and the tar products are now.""Periodic petroleum shortages spurred research into vegetable oil as a diesel substitute during the 1930s and 1940s, and again in the 1970s and early 1980s when straight vegetable oil enjoyed its highest level of scientific interest."
 History ,,"The 1970s also saw the formation of the first commercial enterprise to allow consumers to run straight vegetable oil in their automobiles, Elsbett of West Germany. In the 1990s Bougainville conflict, islanders cut off from oil supplies due to a blockade fueled their vehicles with coconut oil."
 Application and usability , Modified fuel systems ,"Most diesel car engines are suitable for the use of straight vegetable oil (SVO), also commonly called pure plant oil (PPO), with certain modifications. Principally, the viscosity and surface tension of the SVO/PPO must be reduced by preheating it, typically by using waste heat from the engine or electricity; otherwise, poor atomization, incomplete combustion, and carbonization may result. One common solution is to add a heat exchanger and an additional fuel tank for the petrodiesel or biodiesel blend and to switch between this additional tank and the main tank of SVO/PPO."
 Application and usability , Modified fuel systems ,"The engine is started on diesel, switched over to vegetable oil as soon as it is warmed up, and switched back to diesel shortly before being switched off to ensure that no vegetable oil remains in the engine or fuel lines when it is started from cold again. In colder climates it is often necessary to heat the vegetable oil fuel lines and tank as it can become very viscous and even solidify. Single-tank conversions were developed largely in Germany and are now used throughout Europe."
 Application and usability , Modified fuel systems ,These conversions are designed to provide reliable operation with rapeseed oil that meets the German rapeseed oil fuel standard DIN 51605. Modifications to the engine's cold start regime assist combustion on start up and during the engine warm up phase. Suitably modified indirect injection (IDI) engines have proven to be operable with 100% PPO down to temperatures of −10 °C (14 °F). Direct injection (DI) engines generally have to be preheated with a block heater or diesel fired heater. The exception is the VW TDI (Turbocharged Direct Injection) engine for which a number of German companies offer single-tank conversions.
 Application and usability , Modified fuel systems ,For long-term durability it has been found necessary to decrease the oil change interval and pay increased attention to engine maintenance.
 Application and usability , Unmodified indirect injection engines ,"Many cars powered by indirect injection engines supplied by in-line injection pumps, or mechanical Bosch injection pumps are capable of running on pure SVO/PPO in all but winter temperatures. The most popular of these are the OM616 and OM617 engines found in the Mercedes-Benz W123 and W124 vehicles manufactured from 1980 through 1985. Indirect injection Mercedes-Benz vehicles with in-line injection pumps and cars featuring the PSA XUD engine tend to perform reasonably, especially as the latter is normally equipped with a coolant heated fuel filter. Engine reliability would depend on the condition of the engine."
 Application and usability , Unmodified indirect injection engines ,"Attention to maintenance of the engine, particularly of the fuel injectors, cooling system and glow plugs will help to provide longevity. Ideally the engine would be converted."
 Application and usability , Vegetable oil blending ,"The relatively high kinematic viscosity of vegetable oils must be reduced to make them compatible with conventional compression-ignition engines and fuel systems. Cosolvent blending is a low-cost and easy-to-adapt technology that reduces viscosity by diluting the vegetable oil with a low-molecular-weight solvent. This blending, or ""cutting"", has been done with diesel fuel, kerosene, and gasoline, among others; however, opinions vary as to the efficacy of this. Noted problems include higher rates of wear and failure in fuel pumps and piston rings when using blends."
 Application and usability , Home heating ,"When liquid fuels made from biomass are used for energy purposes other than transport, they are called bioliquids or biofuels.With often minimal modification, most residential furnaces and boilers that are designed to burn No. 2 heating oil can be made to burn either biodiesel or filtered, preheated waste vegetable oil (WVO). New standard oil burners are certified to operate on 20% biodiesel (B-20). Higher blends are possible with care, since biodiesel tends to liberate existing tarry deposits in fuel tank, which may tend to clog one or more filters."
 Application and usability , Home heating ,"Conventional oil burners tend to clog and char if more than a smaller fraction of vegetable oil is mixed with conventional oil fuel. If the vegetable oil is cleaned at home by the consumer, WVO can result in considerable savings. Many restaurants will receive a minimal amount for their used cooking oil, and processing to a biofuel is fairly simple and inexpensive. Making the oil into biodiesel involves some toxic and hazardous chemical transformations."
 Application and usability , Home heating ,"Burning filtered WVO directly is somewhat more problematic, since it is more viscous and has a higher ignition temperature; nonetheless, its burning can be accomplished with suitable preheating or burners designed to operate on it. WVO can thus be an economical heating option for those with the necessary mechanical and experimental aptitude."
 Application and usability , Combined heat and power ,"A number of companies offer compression ignition engine generators optimized to run on plant oils where the waste engine heat is recovered for heating. The main form of SVO/PPO used in the UK is rapeseed oil (also known as canola oil, primarily in the United States and Canada) which has a freezing point of −10 °C (14 °F). However the use of sunflower oil, which gels at around −12 °C (10 °F), is currently being investigated as a means of improving cold-weather starting."
 Application and usability , Combined heat and power ,"However, oils with lower gelling points tend to be less saturated (leading to a higher iodine number) and polymerize more easily in the presence of atmospheric oxygen."
 Properties , Material compatibility ,"Polymerization also has been consequentially linked to catastrophic component failures such as injection pump shaft seizure and breakage, injector tip failure leading to various and/or combustion chamber components damaged. Most metallurgical problems such as corrosion and electrolysis are related to water-based contamination or poor choices of plumbing (such as copper or zinc) which can cause gelling – even with petroleum-based fuels."
 Properties , Temperature effects ,"Some Pacific island nations are using coconut oil as fuel to reduce their expenses and their dependence on imported fuels while helping stabilize the coconut oil market. Coconut oil is only usable where temperatures do not drop below 17 degrees Celsius (63 degrees Fahrenheit), unless two-tank SVO/PPO kits or other tank-heating accessories, etc. are used. The same techniques developed to use, for example, canola and other oils in cold climates can be implemented to make coconut oil usable in temperatures lower than 17 degrees Celsius (63 degrees Fahrenheit)"
 Availability , Recycled vegetable oil ,"Recycled vegetable oil, also termed used vegetable oil (UVO), waste vegetable oil (WVO), used cooking oil (UCO), or yellow grease (in commodities exchange), is recovered from businesses and industry that use the oil for cooking. As of 2000, the United States was producing in excess of 11 billion liters (2.9 billion U.S. gallons) of recycled vegetable oil annually, mainly from industrial deep fryers in potato processing plants, snack food factories, and fast food restaurants."
 Availability , Recycled vegetable oil ,"If all those 11 billion liters could be recycled and used to replace the energy equivalent amount of petroleum (an ideal case), almost 1% of US oil consumption could be offset. Utilizing recycled vegetable oil as a replacement for standard petroleum-derived fuels like gasoline would reduce the price of gasoline by preserving the supply of petroleum."
 Availability , Virgin vegetable oil ,"Virgin vegetable oil, also termed pure plant oil or straight vegetable oil, is extracted from plants solely for use as fuel. In contrast to used vegetable oil, is not a byproduct of other industries, and thus its prospects for use as fuel are not limited by the capacities of other industries. Production of vegetable oils for use as fuels is theoretically limited only by the agricultural capacity of a given economy. However, doing so detracts from the supply of other uses of pure vegetable oil."
 Legal implications , Taxation of fuel ,"Taxation on SVO/PPO as a road fuel varies from country to country. It is possible that the revenue departments in many countries are even unaware of its use or consider it too insignificant to legislate. Germany used to have 0% taxation, resulting in it being a leader in most developments of the fuel use."
 Mechanism and effects ,,"Staling is a chemical and physical process in bread and similar foods that reduces their palatability. Staling is not simply a drying-out process due to evaporation. One important mechanism is the migration of moisture from the starch granules into the interstitial spaces, degelatinizing the starch; stale bread's leathery, hard texture results from the starch amylose and amylopectin molecules realigning themselves causing recrystallisation. Stale bread is dry and hard. Bread will stale even in a moist environment, and stales most rapidly at temperatures just above freezing."
 Mechanism and effects ,,"While bread that has been frozen when fresh may be thawed acceptably, bread stored in a refrigerator will have increased staling rates."
 Stale bread , Culinary uses ,"Many classic dishes rely upon otherwise unpalatable stale bread. Examples include bread sauce, bread dumplings, and flummadiddle, an early American savoury pudding. There are also many types of bread soups such as wodzionka (in Silesian cuisine) and ribollita (in Italian cuisine). An often-sweet dish is bread pudding. Cubes of stale bread can be dipped in cheese fondue, or seasoned and baked in the oven to become croutons, suitable for scattering in salads or on top of soups."
 Stale bread , Culinary uses ,"Slices of stale bread soaked in an egg and milk mixture and then fried turn into French toast (known in French as pain perdu - lost bread). In Spanish and Portuguese cuisines migas is a breakfast dish using stale bread, and in Tunisian cuisine leblebi is a soup of chickpeas and stale bread. Stale bread or breadcrumbs made from it can be used to ""stretch"" meat in dishes such as haslet (a type of meatloaf in British cuisine, or meatloaf itself) and garbure (a stew in French cuisine)."
 Stale bread , Culinary uses ,"It can be a subsidiary ingredient in dishes such as fattoush (a type of salad in Levantine cuisine). Stale bread can be used as a base for dips such as skordalia (in Greek cuisine), or substituted with another ingredient. In medieval cuisine, slices of stale bread, called trenchers, were used instead of plates."
 Stale bread , Countermeasures ,"Anti-staling agents used in modern bread include wheat gluten, enzymes, and glycerolipids, mainly monoglycerides and diglycerides."
 Stale bread , Destaling ,"Stale bread can be partially made fresh again by heating to 60°C in a conventional oven or microwave oven. Gray, J.A.; Bemiller, J.N. (January 2003), ""Bread Staling: Molecular Basis and Control"", Comprehensive Reviews in Food Science and Food Safety, 2 (1): 1–21, doi:10.1111/j.1541-4337.2003.tb00011.x, PMID 33451240 Xie, Feng (1998). The study of bread staling using visible and near-infrared reflectance spectroscopy (PDF) (Ph.D.). Kansas State University. Archived from the original (PDF) on 2014-08-26. Retrieved 2014-08-25."
